240 0 1908
240 1 1932
240 2 1956
239 3 1884
239 4 1752
238 5 1801
237 6 1778
237 7 1782
237 8 1762
237 9 1764
237 10 1761
237 11 1761
236 12 1761
236 13 1805
235 14 1762
235 15 1827
235 16 1832
235 17 1856
234 18 1876
233 19 1885
233 20 1901
233 21 1905
232 22 1916
232 23 1955
232 24 1978
232 25 2004
231 26 2010
230 27 2037
230 28 2066
230 29 2124
230 30 2155
230 31 2138
230 32 2061
230 33 2006
230 34 1890
229 35 1798
228 36 1884
228 37 1818
228 38 1762
228 39 1600
228 40 1701
228 41 1554
228 42 1427
228 43 1427
228 44 1405
228 45 1397
228 46 1379
228 47 1369
227 48 1366
227 49 1370
227 50 1370
227 51 1373
227 52 1376
227 53 1381
227 54 1388
227 55 1391
226 56 1396
226 57 1400
226 58 1420
226 59 1427
226 60 1427
226 61 1442
226 62 1452
226 63 1457
226 64 1468
226 65 1477
225 66 1488
225 67 1518
224 68 1519
224 69 1517
224 70 1517
224 71 1519
224 72 1528
224 73 1532
224 74 1561
224 75 1628
224 76 1795
223 77 1762
223 78 1757
223 79 1884
222 80 1888
222 81 1929
222 82 1822
221 83 1762
221 84 1581
221 85 1640
221 86 1519
220 87 1519
220 88 1579
220 89 1600
219 90 1481
219 91 1451
218 92 1458
217 93 1493
217 94 1463
217 95 1518
217 96 1520
217 97 1519
217 98 1545
217 99 1519
217 100 1617
217 101 1626
217 102 1701
217 103 1710
216 104 1685
216 105 1712
215 106 1724
214 107 1665
214 108 1658
214 109 1674
214 110 1661
214 111 1694
213 112 1714
212 113 1824
212 114 1838
212 115 1827
211 116 1827
211 117 1846
211 118 1843
211 119 1835
211 120 1825
211 121 1826
211 122 1824
211 123 1834
211 124 1827
211 125 1822
211 126 1828
210 127 1799
209 128 1853
209 129 1893
209 130 1935
209 131 1930
209 132 1917
209 133 1913
209 134 1902
209 135 1951
209 136 1942
208 137 1974
208 138 2013
208 139 2049
208 140 2066
207 141 2052
207 142 2093
207 143 2143
207 144 2151
206 145 2255
206 146 2260
206 147 2335
205 148 2364
205 149 2326
205 150 2305
205 151 2397
205 152 2439
204 153 2421
204 154 2471
203 155 2518
202 156 2474
202 157 2476
201 158 2428
201 159 2409
201 160 2443
200 161 2416
200 162 2480
200 163 2524
200 164 2494
199 165 2545
198 166 2410
198 167 2283
198 168 2168
197 169 2132
196 170 2256
196 171 2277
196 172 2165
196 173 2094
195 174 2079
194 175 2040
194 176 2199
194 177 2400
193 178 2478
193 179 2435
192 180 2629
192 181 2678
192 182 2625
192 183 2572
192 184 2532
192 185 2619
192 186 2525
192 187 2533
192 188 2478
191 189 2494
191 190 2547
191 191 2661
190 192 2763
190 193 2821
190 194 2772
189 195 2759
188 196 2694
187 197 2777
187 198 2805
187 199 2827
186 200 2949
186 201 2775
186 202 2663
185 203 2577
185 204 2525
184 205 2404
183 206 2254
183 207 2066
183 208 1932
182 209 1961
181 210 1818
180 211 2103
180 212 2086
180 213 2138
179 214 2135
178 215 2160
178 216 2230
178 217 2255
178 218 2303
178 219 2364
178 220 2409
178 221 2555
178 222 2644
178 223 2728
177 224 2727
177 225 2686
177 226 2675
176 227 2690
176 228 2686
176 229 2699
176 230 2724
175 231 2754
174 232 2719
173 233 2714
173 234 2693
173 235 2708
173 236 2720
173 237 2707
173 238 2657
173 239 2495
173 240 2499
173 241 2410
173 242 2393
172 243 2393
172 244 2435
172 245 2329
171 246 2312
171 247 2283
